School_Year,School_Name,Teacher_Name,Student_ID,Current_Grade,Test_Date,Test_Type,Scaled_Score,Percentile_Rank,Current_SGP
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2997,1,9/8/2020,Star Math Enterprise Tests,87,1,1
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2726,1,1/19/2021,Star Math Enterprise Tests,90,1,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2683,1,1/19/2021,Star Math Enterprise Tests,92,1,1
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2824,1,11/4/2020,Star Math Enterprise Tests,94,1,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2998,1,9/8/2020,Star Math Enterprise Tests,113,1,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2999,1,11/4/2020,Star Math Enterprise Tests,119,1,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,3002,1,9/17/2020,Star Math Enterprise Tests,123,1,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2950,1,9/9/2020,Star Math Enterprise Tests,126,2,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2804,1,1/19/2021,Star Math Enterprise Tests,129,2,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2981,1,11/2/2020,Star Math Enterprise Tests,130,2,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2726,1,11/2/2020,Star Math Enterprise Tests,133,1,1
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2892,1,9/9/2020,Star Math Enterprise Tests,136,1,1
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2811,1,9/8/2020,Star Math Enterprise Tests,141,1,1
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2818,1,11/6/2020,Star Math Enterprise Tests,147,3,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2770,1,9/9/2020,Star Math Enterprise Tests,148,1,1
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2831,1,1/19/2021,Star Math Enterprise Tests,162,9,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2804,1,11/4/2020,Star Math Enterprise Tests,162,2,17
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2837,1,1/20/2021,Star Math Enterprise Tests,163,2,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2913,1,9/11/2020,Star Math Enterprise Tests,164,9,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2931,1,9/8/2020,Star Math Enterprise Tests,165,9,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2892,1,9/10/2020,Star Math Enterprise Tests,166,2,1
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2895,1,11/2/2020,Star Math Enterprise Tests,172,11,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,3000,1,11/5/2020,Star Math Enterprise Tests,172,3,1
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2726,1,9/14/2020,Star Math Enterprise Tests,172,8,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2666,1,9/8/2020,Star Math Enterprise Tests,173,8,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2798,1,1/19/2021,Star Math Enterprise Tests,173,11,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2764,1,9/15/2020,Star Math Enterprise Tests,176,9,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2659,1,1/21/2021,Star Math Enterprise Tests,179,12,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2949,1,11/4/2020,Star Math Enterprise Tests,184,14,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2808,1,1/19/2021,Star Math Enterprise Tests,185,5,2
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2798,1,1/19/2021,Star Math Enterprise Tests,185,14,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2737,1,11/13/2020,Star Math Enterprise Tests,186,5,1
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2764,1,1/19/2021,Star Math Enterprise Tests,187,5,1
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2878,1,1/19/2021,Star Math Enterprise Tests,187,11,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2815,1,11/13/2020,Star Math Enterprise Tests,189,6,7
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2949,1,1/19/2021,Star Math Enterprise Tests,192,6,12
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2918,1,11/4/2020,Star Math Enterprise Tests,192,6,3
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2945,1,1/21/2021,Star Math Enterprise Tests,194,16,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2950,1,9/8/2020,Star Math Enterprise Tests,194,6,1
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2885,1,1/19/2021,Star Math Enterprise Tests,195,13,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2666,1,1/20/2021,Star Math Enterprise Tests,198,18,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2769,1,9/9/2020,Star Math Enterprise Tests,199,18,
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2727,1,1/19/2021,Star Math Enterprise Tests,200,8,1
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2811,1,11/4/2020,Star Math Enterprise Tests,201,8,1
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2770,1,11/4/2020,Star Math Enterprise Tests,201,14,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,3046,1,9/8/2020,Star Math Enterprise Tests,202,19,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2814,1,1/19/2021,Star Math Enterprise Tests,202,14,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2666,1,11/4/2020,Star Math Enterprise Tests,203,9,11
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2684,1,9/8/2020,Star Math Enterprise Tests,203,15,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2737,1,11/11/2020,Star Math Enterprise Tests,204,20,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2934,1,11/4/2020,Star Math Enterprise Tests,204,9,1
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2951,1,11/10/2020,Star Math Enterprise Tests,204,9,3
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2989,1,1/19/2021,Star Math Enterprise Tests,204,20,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2736,1,9/8/2020,Star Math Enterprise Tests,204,20,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2991,1,9/8/2020,Star Math Enterprise Tests,204,15,
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2727,1,1/19/2021,Star Math Enterprise Tests,205,15,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2756,1,9/8/2020,Star Math Enterprise Tests,205,15,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2756,1,1/21/2021,Star Math Enterprise Tests,206,9,1
2020-2021 School Year,Kipp Columbus Primary,Teacher41,3007,1,1/19/2021,Star Math Enterprise Tests,206,20,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2892,1,9/8/2020,Star Math Enterprise Tests,207,9,1
2020-2021 School Year,Kipp Columbus Primary,Teacher41,3007,1,11/4/2020,Star Math Enterprise Tests,207,9,10
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2769,1,11/5/2020,Star Math Enterprise Tests,208,16,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2976,1,1/19/2021,Star Math Enterprise Tests,208,9,1
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2775,1,1/19/2021,Star Math Enterprise Tests,209,9,
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2968,1,1/19/2021,Star Math Enterprise Tests,209,9,8
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2988,1,9/11/2020,Star Math Enterprise Tests,210,22,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2696,1,11/2/2020,Star Math Enterprise Tests,210,27,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2981,1,1/19/2021,Star Math Enterprise Tests,211,10,42
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2804,1,1/21/2021,Star Math Enterprise Tests,212,22,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2878,1,11/4/2020,Star Math Enterprise Tests,212,10,23
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2793,1,9/8/2020,Star Math Enterprise Tests,213,11,1
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2798,1,11/5/2020,Star Math Enterprise Tests,215,23,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2667,1,11/4/2020,Star Math Enterprise Tests,216,24,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2696,1,1/19/2021,Star Math Enterprise Tests,217,30,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2815,1,1/21/2021,Star Math Enterprise Tests,219,20,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2995,1,9/9/2020,Star Math Enterprise Tests,219,24,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2824,1,11/2/2020,Star Math Enterprise Tests,220,25,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2696,1,11/5/2020,Star Math Enterprise Tests,221,32,
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2968,1,9/8/2020,Star Math Enterprise Tests,221,26,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2696,1,1/22/2021,Star Math Enterprise Tests,222,32,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2711,1,11/4/2020,Star Math Enterprise Tests,222,21,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2815,1,9/10/2020,Star Math Enterprise Tests,222,20,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2936,1,9/8/2020,Star Math Enterprise Tests,223,21,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,3009,1,1/19/2021,Star Math Enterprise Tests,224,21,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,3007,1,11/2/2020,Star Math Enterprise Tests,224,13,15
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2667,1,1/19/2021,Star Math Enterprise Tests,225,13,12
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2670,1,9/9/2020,Star Math Enterprise Tests,225,27,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2790,1,9/10/2020,Star Math Enterprise Tests,227,22,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2894,1,9/18/2020,Star Math Enterprise Tests,227,22,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2881,1,9/8/2020,Star Math Enterprise Tests,228,29,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2945,1,11/2/2020,Star Math Enterprise Tests,229,29,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2808,1,1/19/2021,Star Math Enterprise Tests,229,29,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2950,1,11/2/2020,Star Math Enterprise Tests,230,23,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2798,1,11/2/2020,Star Math Enterprise Tests,231,30,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2847,1,11/5/2020,Star Math Enterprise Tests,231,30,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2814,1,1/19/2021,Star Math Enterprise Tests,233,15,5
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2811,1,11/5/2020,Star Math Enterprise Tests,234,15,1
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2647,1,11/4/2020,Star Math Enterprise Tests,234,25,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,3026,1,11/4/2020,Star Math Enterprise Tests,234,15,3
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2999,1,1/19/2021,Star Math Enterprise Tests,235,31,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,3032,1,1/19/2021,Star Math Enterprise Tests,236,26,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2988,1,11/2/2020,Star Math Enterprise Tests,236,26,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2804,1,9/9/2020,Star Math Enterprise Tests,236,26,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,3001,1,1/21/2021,Star Math Enterprise Tests,237,32,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2743,1,9/10/2020,Star Math Enterprise Tests,237,33,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,3042,1,9/11/2020,Star Math Enterprise Tests,239,17,2
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2885,1,9/10/2020,Star Math Enterprise Tests,239,33,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2712,1,9/15/2020,Star Math Enterprise Tests,239,27,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2918,1,11/4/2020,Star Math Enterprise Tests,239,33,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2769,1,1/19/2021,Star Math Enterprise Tests,240,17,23
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2818,1,11/2/2020,Star Math Enterprise Tests,240,17,1
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2662,1,9/9/2020,Star Math Enterprise Tests,240,17,1
2020-2021 School Year,Kipp Columbus Primary,Teacher41,3007,1,11/2/2020,Star Math Enterprise Tests,241,28,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2808,1,1/21/2021,Star Math Enterprise Tests,242,35,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2667,1,11/4/2020,Star Math Enterprise Tests,242,29,
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2668,1,1/19/2021,Star Math Enterprise Tests,242,29,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2743,1,9/8/2020,Star Math Enterprise Tests,242,29,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2847,1,11/4/2020,Star Math Enterprise Tests,243,18,14
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2696,1,1/21/2021,Star Math Enterprise Tests,244,41,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2683,1,11/2/2020,Star Math Enterprise Tests,244,35,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,3014,1,11/4/2020,Star Math Enterprise Tests,246,30,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2684,1,11/4/2020,Star Math Enterprise Tests,246,36,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2834,1,11/2/2020,Star Math Enterprise Tests,247,30,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2717,1,1/19/2021,Star Math Enterprise Tests,247,37,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2792,1,9/8/2020,Star Math Enterprise Tests,248,37,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2802,1,11/4/2020,Star Math Enterprise Tests,248,31,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2814,1,9/8/2020,Star Math Enterprise Tests,249,31,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2808,1,9/11/2020,Star Math Enterprise Tests,249,37,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2967,1,1/19/2021,Star Math Enterprise Tests,249,20,6
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2847,1,1/22/2021,Star Math Enterprise Tests,249,31,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2647,1,3/8/2021,Star Math Enterprise Tests,250,37,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2878,1,9/9/2020,Star Math Enterprise Tests,250,20,40
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2798,1,11/12/2020,Star Math Enterprise Tests,251,20,16
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2736,1,11/4/2020,Star Math Enterprise Tests,251,32,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2951,1,11/9/2020,Star Math Enterprise Tests,251,38,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2834,1,11/2/2020,Star Math Enterprise Tests,253,21,1
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2668,1,11/4/2020,Star Math Enterprise Tests,253,21,3
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2711,1,1/19/2021,Star Math Enterprise Tests,253,39,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2666,1,11/4/2020,Star Math Enterprise Tests,253,39,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2904,1,9/8/2020,Star Math Enterprise Tests,254,21,4
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2840,1,11/4/2020,Star Math Enterprise Tests,254,21,1
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2793,1,1/19/2021,Star Math Enterprise Tests,255,33,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2933,1,11/4/2020,Star Math Enterprise Tests,255,22,8
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2925,1,9/9/2020,Star Math Enterprise Tests,255,34,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,3020,1,1/19/2021,Star Math Enterprise Tests,256,34,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2808,1,11/4/2020,Star Math Enterprise Tests,256,34,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2802,1,1/19/2021,Star Math Enterprise Tests,257,40,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2790,1,9/8/2020,Star Math Enterprise Tests,257,40,
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2727,1,9/9/2020,Star Math Enterprise Tests,258,40,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2814,1,9/9/2020,Star Math Enterprise Tests,258,40,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2976,1,1/19/2021,Star Math Enterprise Tests,258,35,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2936,1,9/8/2020,Star Math Enterprise Tests,259,23,9
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2964,1,9/9/2020,Star Math Enterprise Tests,259,35,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2999,1,11/4/2020,Star Math Enterprise Tests,260,24,19
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2972,1,9/11/2020,Star Math Enterprise Tests,260,36,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2723,1,11/4/2020,Star Math Enterprise Tests,260,42,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2712,1,9/10/2020,Star Math Enterprise Tests,260,41,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2769,1,9/8/2020,Star Math Enterprise Tests,261,36,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2894,1,9/8/2020,Star Math Enterprise Tests,261,36,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2885,1,11/2/2020,Star Math Enterprise Tests,262,24,18
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2936,1,9/10/2020,Star Math Enterprise Tests,262,42,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2966,1,11/11/2020,Star Math Enterprise Tests,263,37,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2792,1,11/9/2020,Star Math Enterprise Tests,263,37,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2683,1,9/8/2020,Star Math Enterprise Tests,264,25,17
2020-2021 School Year,Kipp Columbus Primary,Teacher41,3010,1,1/19/2021,Star Math Enterprise Tests,264,37,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2790,1,11/4/2020,Star Math Enterprise Tests,264,43,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,3001,1,1/21/2021,Star Math Enterprise Tests,264,37,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2737,1,11/12/2020,Star Math Enterprise Tests,265,44,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2933,1,11/4/2020,Star Math Enterprise Tests,265,44,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2659,1,11/4/2020,Star Math Enterprise Tests,265,44,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2958,1,9/14/2020,Star Math Enterprise Tests,265,38,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,3010,1,1/19/2021,Star Math Enterprise Tests,267,44,
2020-2021 School Year,Kipp Columbus Primary,Teacher40,3015,1,11/4/2020,Star Math Enterprise Tests,268,45,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2853,1,1/19/2021,Star Math Enterprise Tests,269,45,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2951,1,1/19/2021,Star Math Enterprise Tests,270,40,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2726,1,9/8/2020,Star Math Enterprise Tests,270,40,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2877,1,9/9/2020,Star Math Enterprise Tests,270,46,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2701,1,9/8/2020,Star Math Enterprise Tests,271,46,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2665,1,1/19/2021,Star Math Enterprise Tests,271,40,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,3021,1,11/4/2020,Star Math Enterprise Tests,271,40,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2999,1,9/9/2020,Star Math Enterprise Tests,272,40,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2770,1,11/4/2020,Star Math Enterprise Tests,273,47,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,3025,1,9/8/2020,Star Math Enterprise Tests,273,47,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2659,1,1/21/2021,Star Math Enterprise Tests,274,47,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2991,1,9/8/2020,Star Math Enterprise Tests,274,29,8
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2762,1,11/12/2020,Star Math Enterprise Tests,275,42,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2918,1,1/19/2021,Star Math Enterprise Tests,276,42,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,3046,1,9/8/2020,Star Math Enterprise Tests,276,30,39
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2770,1,3/5/2021,Star Math Enterprise Tests,277,31,12
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2987,1,11/5/2020,Star Math Enterprise Tests,279,49,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2816,1,11/2/2020,Star Math Enterprise Tests,279,43,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,3046,1,1/19/2021,Star Math Enterprise Tests,280,50,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2956,1,11/11/2020,Star Math Enterprise Tests,281,50,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,3009,1,11/4/2020,Star Math Enterprise Tests,281,33,2
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2964,1,11/4/2020,Star Math Enterprise Tests,281,50,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2933,1,9/8/2020,Star Math Enterprise Tests,282,33,18
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2882,1,9/8/2020,Star Math Enterprise Tests,282,44,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2711,1,11/4/2020,Star Math Enterprise Tests,282,33,22
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2904,1,11/5/2020,Star Math Enterprise Tests,283,45,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2737,1,11/10/2020,Star Math Enterprise Tests,284,46,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2972,1,1/19/2021,Star Math Enterprise Tests,285,34,7
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2727,1,9/10/2020,Star Math Enterprise Tests,286,52,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2861,1,11/16/2020,Star Math Enterprise Tests,286,35,1
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2991,1,11/4/2020,Star Math Enterprise Tests,287,52,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2701,1,9/10/2020,Star Math Enterprise Tests,287,47,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2844,1,1/19/2021,Star Math Enterprise Tests,288,47,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2960,1,9/8/2020,Star Math Enterprise Tests,288,53,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2701,1,9/9/2020,Star Math Enterprise Tests,289,36,18
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2904,1,9/9/2020,Star Math Enterprise Tests,289,53,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2938,1,11/2/2020,Star Math Enterprise Tests,289,36,9
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2808,1,1/19/2021,Star Math Enterprise Tests,290,48,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2967,1,9/8/2020,Star Math Enterprise Tests,291,48,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,3042,1,11/5/2020,Star Math Enterprise Tests,291,48,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2691,1,1/21/2021,Star Math Enterprise Tests,291,54,
2020-2021 School Year,Kipp Columbus Primary,Teacher39,2869,1,1/21/2021,Star Math Enterprise Tests,292,54,
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2868,1,9/9/2020,Star Math Enterprise Tests,293,37,1
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2988,1,11/4/2020,Star Math Enterprise Tests,294,38,46
2020-2021 School Year,Kipp Columbus Primary,Teacher36,2802,1,1/19/2021,Star Math Enterprise Tests,295,38,27
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2818,1,9/8/2020,Star Math Enterprise Tests,295,50,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2945,1,1/19/2021,Star Math Enterprise Tests,295,38,54
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2976,1,1/20/2021,Star Math Enterprise Tests,296,39,4
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2808,1,11/4/2020,Star Math Enterprise Tests,296,56,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2844,1,1/21/2021,Star Math Enterprise Tests,296,39,3
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2704,1,1/25/2021,Star Math Enterprise Tests,297,57,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2816,1,9/9/2020,Star Math Enterprise Tests,297,39,6
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2766,1,9/8/2020,Star Math Enterprise Tests,297,50,
2020-2021 School Year,Kipp Columbus Primary,Teacher41,2822,1,9/8/2020,Star Math Enterprise Tests,298,51,
2020-2021 School Year,Kipp Columbus Primary,Teacher35,2806,1,11/4/2020,Star Math Enterprise Tests,298,57,
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2668,1,11/4/2020,Star Math Enterprise Tests,299,57,
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2717,1,9/8/2020,Star Math Enterprise Tests,299,52,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2766,1,11/4/2020,Star Math Enterprise Tests,299,57,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2956,1,11/9/2020,Star Math Enterprise Tests,299,52,
2020-2021 School Year,Kipp Columbus Primary,Teacher37,2702,1,1/19/2021,Star Math Enterprise Tests,300,57,
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2762,1,1/19/2021,Star Math Enterprise Tests,300,41,1
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2694,1,9/9/2020,Star Math Enterprise Tests,301,58,
2020-2021 School Year,Kipp Columbus Primary,Teacher42,2700,1,9/10/2020,Star Math Enterprise Tests,301,52,
2020-2021 School Year,Kipp Columbus Primary,Teacher40,2863,1,9/14/2020,Star Math Enterprise Tests,301,52,
2020-2021 School Year,Kipp Columbus Primary,Teacher43,2966,1,1/19/2021,Star Math Enterprise Tests,302,41,42
2020-2021 School Year,Kipp Columbus Primary,Teacher38,2972,1,1/19/2021,Star Math Enterprise Tests,302,58,
